sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.83;45979;166847
2;12.06;23659;96832
4;12.21;9247;51740
6;08.53;6101;22276
8;10.60;5320;21144
10;10.61;4252;16940
12;10.63;3536;14140
14;10.61;3029;12115
16;10.63;2648;10612
