sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;06.23;7983;34626
2;05.26;2977;16417
4;05.43;1504;8559
6;05.76;1441;7230
8;05.70;1097;5414
10;05.80;875;4379
12;05.71;733;3638
14;05.73;603;2993
16;05.76;550;2763
