sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.88;42794;242281
2;7.85;25195;121845
4;6.25;13362;61004
6;3.83;7019;41592
8;4.51;5474;30786
10;3.66;4359;24672
12;04.28;3626;22368
14;04.21;3096;17495
