sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;05.40;8139;39987
2;03.91;3582;20115
4;04.00;1762;10696
6;03.68;1789;6685
8;03.43;1445;5020
10;03.41;1259;4114
12;04.16;804;3355
14;03.58;742;2879
16;03.81;869;2517
