sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.93;46390;167930
2;07.33;23593;97997
4;04.93;12335;36542
6;05.43;10117;43376
8;06.76;8211;41325
10;06.65;6835;34427
12;06.23;5636;26407
14;06.51;5329;26274
16;05.60;4433;18077
