sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;17:49:58 - 17:50:8;10;18;17:50:0 - 17:50:10;10;16;17:50:2 - 17:50:12;10;14;17:50:4 - 17:50:14;10;12;17:50:4 - 17:50:15;11;11;17:50:5 - 17:50:15;10;11;17:50:5 - 17:50:16;11;10;17:50:5 - 17:50:16;11;10;17:50:8 - 17:50:19;11;13;17:50:10 - 17:50:21;11;11;17:50:12 - 17:50:23;11;9;17:50:14 - 17:50:24;10;8;17:50:15 - 17:50:25;10;8;17:50:15 - 17:50:25;10;8;17:50:16 - 17:50:26;10;7;17:50:16 - 17:50:26;10;7;
grayscaling;17:50:26 - 17:50:32 (26);6;7;17:50:26 - 17:50:32 (29);6;7;17:50:26 - 17:50:33 (24);7;6;17:50:26 - 17:50:33 (31);7;6;17:50:26 - 17:50:32 (25);6;7;17:50:26 - 17:50:33 (30);7;6;17:50:26 - 17:50:32 (27);6;7;17:50:26 - 17:50:33 (28);7;6;17:50:32 - 17:50:39 (26);7;21;17:50:32 - 17:50:39 (27);7;21;17:50:32 - 17:50:39 (25);7;21;17:50:32 - 17:50:39 (29);7;21;17:50:33 - 17:50:39 (30);6;21;17:50:33 - 17:50:39 (28);6;21;17:50:33 - 17:50:39 (24);6;21;17:50:33 - 17:50:39 (31);6;21;
errosion;17:50:39 - 17:51:0 (26);21;;17:50:39 - 17:51:0 (29);21;;17:50:39 - 17:51:0 (24);21;;17:50:39 - 17:51:0 (31);21;;17:50:39 - 17:51:0 (27);21;;17:50:39 - 17:51:0 (30);21;;17:50:39 - 17:51:0 (25);21;;17:50:39 - 17:51:0 (28);21;;17:51:0 - 17:51:20 (26);20;;17:51:0 - 17:51:20 (27);20;;17:51:0 - 17:51:20 (25);20;;17:51:0 - 17:51:20 (29);20;;17:51:0 - 17:51:21 (30);21;;17:51:0 - 17:51:21 (24);21;;17:51:0 - 17:51:21 (28);21;;17:51:0 - 17:51:21 (31);21;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;17:51:20 - 17:51:55;35;36;17:51:20 - 17:51:55;35;36;17:51:20 - 17:51:55;35;36;17:51:20 - 17:51:55;35;36;17:51:21 - 17:51:56;35;35;17:51:21 - 17:51:56;35;35;17:51:21 - 17:51:56;35;35;17:51:21 - 17:51:56;35;35;17:51:55 - 17:52:30;35;24;17:51:55 - 17:52:30;35;24;17:51:55 - 17:52:30;35;24;17:51:55 - 17:52:31;36;23;17:51:56 - 17:52:31;35;23;17:51:56 - 17:52:31;35;23;17:51:56 - 17:52:31;35;23;17:51:56 - 17:52:31;35;23;
grayscaling;17:52:31 - 17:52:54 (30);23;135;17:52:31 - 17:52:54 (27);23;135;17:52:31 - 17:52:54 (31);23;135;17:52:31 - 17:52:54 (25);23;134;17:52:31 - 17:52:54 (26);23;134;17:52:31 - 17:52:54 (29);23;134;17:52:31 - 17:52:54 (28);23;135;17:52:31 - 17:52:54 (24);23;134;17:52:54 - 17:53:16 (26);22;180;17:52:54 - 17:53:16 (24);22;180;17:52:54 - 17:53:16 (25);22;180;17:52:54 - 17:53:16 (29);22;180;17:52:54 - 17:53:16 (31);22;180;17:52:54 - 17:53:16 (27);22;180;17:52:54 - 17:53:16 (30);22;180;17:52:54 - 17:53:16 (28);22;180;
errosion;17:55:9 - 17:56:16 (27);67;;17:55:9 - 17:56:16 (31);67;;17:55:9 - 17:56:16 (24);67;;17:55:8 - 17:56:16 (26);68;;17:55:8 - 17:56:16 (29);68;;17:55:8 - 17:56:16 (30);68;;17:55:9 - 17:56:16 (28);67;;17:55:8 - 17:56:16 (25);68;;17:56:16 - 17:57:23 (26);67;;17:56:16 - 17:57:23 (30);67;;17:56:16 - 17:57:23 (29);67;;17:56:16 - 17:57:23 (25);67;;17:56:16 - 17:57:24 (24);68;;17:56:16 - 17:57:24 (27);68;;17:56:16 - 17:57:24 (31);68;;17:56:16 - 17:57:24 (28);68;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;17:53:16 - 17:54:12;56;191;17:53:16 - 17:54:12;56;191;17:53:16 - 17:54:12;56;191;17:53:16 - 17:54:12;56;191;17:53:16 - 17:54:12;56;192;17:53:16 - 17:54:12;56;192;17:53:16 - 17:54:13;57;191;17:53:16 - 17:54:13;57;191;17:54:12 - 17:55:8;56;171;17:54:12 - 17:55:8;56;171;17:54:12 - 17:55:8;56;171;17:54:12 - 17:55:8;56;172;17:54:12 - 17:55:9;57;171;17:54:12 - 17:55:9;57;171;17:54:13 - 17:55:9;56;171;17:54:13 - 17:55:9;56;171;
grayscaling;17:57:23 - 17:57:59 (29);36;37;17:57:23 - 17:57:59 (25);36;37;17:57:23 - 17:57:59 (26);36;37;17:57:23 - 17:58:0 (30);37;36;17:57:24 - 17:58:0 (24);36;36;17:57:24 - 17:58:0 (31);36;36;17:57:24 - 17:58:0 (27);36;36;17:57:24 - 17:58:0 (28);36;36;17:57:59 - 17:58:36 (29);37;108;17:57:59 - 17:58:36 (25);37;108;17:57:59 - 17:58:36 (26);37;108;17:58:0 - 17:58:36 (30);36;108;17:58:0 - 17:58:36 (24);36;108;17:58:0 - 17:58:36 (31);36;108;17:58:0 - 17:58:36 (27);36;108;17:58:0 - 17:58:36 (28);36;108;
errosion;17:58:36 - 18:0:24 (29);108;;17:58:36 - 18:0:24 (25);108;;17:58:36 - 18:0:24 (26);108;;17:58:36 - 18:0:24 (30);108;;17:58:36 - 18:0:24 (24);108;;17:58:36 - 18:0:24 (31);108;;17:58:36 - 18:0:24 (27);108;;17:58:36 - 18:0:24 (28);108;;18:0:24 - 18:2:11 (25);107;;18:0:24 - 18:2:12 (29);108;;18:0:24 - 18:2:12 (26);108;;18:0:24 - 18:2:12 (30);108;;18:0:24 - 18:2:12 (24);108;;18:0:24 - 18:2:12 (27);108;;18:0:24 - 18:2:12 (31);108;;18:0:24 - 18:2:12 (28);108;;


16sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;18:2:13 - 18:2:23;10;236;18:2:13 - 18:2:23;10;236;18:2:13 - 18:2:23;10;236;18:2:13 - 18:2:23;10;236;18:2:13 - 18:2:23;10;236;18:2:13 - 18:2:23;10;238;18:2:13 - 18:2:23;10;238;18:2:13 - 18:2:23;10;238;18:2:23 - 18:2:34;11;227;18:2:23 - 18:2:34;11;227;18:2:23 - 18:2:34;11;227;18:2:23 - 18:2:34;11;227;18:2:23 - 18:2:34;11;227;18:2:23 - 18:2:34;11;233;18:2:23 - 18:2:34;11;233;18:2:23 - 18:2:34;11;233;
grayscaling;6:6:19 - 6:7:49 (103);90;0;6:6:19 - 6:7:42 (156);83;0;6:6:19 - 6:7:50 (153);91;0;6:6:19 - 6:7:46 (159);87;0;6:6:19 - 6:7:51 (160);92;0;6:6:21 - 6:8:11 (171);110;0;6:6:21 - 6:8:9 (97);108;1;6:6:21 - 6:8:9 (164);108;1;6:6:21 - 6:8:14 (104);113;0;6:6:21 - 6:8:12 (118);111;0;6:6:21 - 6:8:7 (168);106;0;6:6:21 - 6:8:18 (105);117;1;6:6:21 - 6:8:7 (91);106;1;6:6:27 - 6:8:42 (119);135;0;6:6:27 - 6:8:45 (113);138;0;6:6:27 - 6:8:43 (165);136;1;
errosion;6:7:49 - 6:7:50 (184);1;;6:7:42 - 6:7:43 (184);1;;6:7:50 - 6:7:51 (103);1;;6:7:46 - 6:7:47 (186);1;;6:7:51 - 6:7:52 (153);1;;6:8:11 - 6:8:12 (168);1;;6:8:10 - 6:8:11 (153);1;;6:8:10 - 6:8:11 (164);1;;6:8:14 - 6:8:15 (103);1;;6:8:12 - 6:8:13 (103);1;;6:8:7 - 6:8:8 (153);1;;6:8:19 - 6:8:19 (183);0;;6:8:8 - 6:8:9 (103);1;;6:8:42 - 6:8:43 (104);1;;6:8:45 - 6:8:46 (114);1;;6:8:44 - 6:8:44 (29);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;222;18:2:34 - 18:2:45;11;223;18:2:34 - 18:2:45;11;226;18:2:45 - 18:2:55;10;217;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;218;18:2:45 - 18:2:55;10;219;
grayscaling;6:6:27 - 6:8:43 (33);136;0;6:6:27 - 6:8:42 (108);135;1;6:6:27 - 6:8:41 (114);134;1;6:6:27 - 6:8:41 (29);134;0;6:6:27 - 6:8:45 (102);138;0;6:6:27 - 6:8:43 (163);136;1;6:6:28 - 6:8:45 (98);137;0;6:6:31 - 6:8:52 (124);141;1;6:6:32 - 6:8:56 (107);144;0;6:6:33 - 6:8:56 (126);143;0;6:6:33 - 6:8:55 (117);142;1;6:6:33 - 6:8:57 (125);144;1;6:6:33 - 6:8:56 (121);143;1;6:6:33 - 6:8:56 (83);143;0;6:6:33 - 6:9:0 (28);147;0;6:6:34 - 6:9:2 (169);148;0;
errosion;6:8:43 - 6:8:44 (168);1;;6:8:43 - 6:8:43 (119);0;;6:8:42 - 6:8:42 (171);0;;6:8:41 - 6:8:42 (168);1;;6:8:45 - 6:8:46 (165);1;;6:8:44 - 6:8:45 (114);1;;6:8:45 - 6:8:46 (29);1;;6:8:53 - 6:8:53 (183);0;;6:8:56 - 6:8:57 (126);1;;6:8:56 - 6:8:56 (124);0;;6:8:56 - 6:8:56 (183);0;;6:8:58 - 6:8:58 (104);0;;6:8:57 - 6:8:57 (168);0;;6:8:56 - 6:8:57 (163);1;;6:9:0 - 6:9:1 (104);1;;6:9:2 - 6:9:2 (125);0;;


