sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
errosion;15:58:57 - 15:59:26 (31);29;;15:58:58 - 15:59:27 (25);29;;15:58:59 - 15:59:28 (28);29;;15:58:59 - 15:59:29 (30);30;;15:59:26 - 15:59:54 (31);28;;15:59:27 - 15:59:55 (25);28;;15:59:28 - 15:59:56 (28);28;;15:59:29 - 15:59:57 (30);28;;15:59:39 - 16:0:6 (27);27;;15:59:39 - 16:0:7 (24);28;;15:59:40 - 16:0:8 (26);28;;15:59:40 - 16:0:8 (29);28;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;15:58:9 - 15:58:55;46;59;15:58:9 - 15:58:55;46;60;15:58:10 - 15:58:56;46;60;15:58:10 - 15:58:57;47;60;15:58:10 - 15:58:57;47;69;15:58:11 - 15:58:58;47;69;15:58:12 - 15:58:59;47;69;15:58:12 - 15:58:59;47;69;15:58:55 - 15:59:39;44;75;15:58:55 - 15:59:39;44;76;15:58:56 - 15:59:40;44;76;15:58:57 - 15:59:40;43;76;
grayscaling;15:59:54 - 16:0:54 (31);60;135;15:59:55 - 16:0:55 (25);60;135;15:59:56 - 16:0:56 (28);60;135;15:59:57 - 16:0:56 (30);59;135;16:0:6 - 16:1:6 (27);60;141;16:0:7 - 16:1:6 (24);59;141;16:0:8 - 16:1:8 (26);60;140;16:0:8 - 16:1:8 (29);60;141;16:0:54 - 16:1:54 (31);60;166;16:0:55 - 16:1:55 (25);60;167;16:0:56 - 16:1:56 (28);60;166;16:0:56 - 16:1:56 (30);60;167;
errosion;16:3:9 - 16:4:40 (31);91;;16:3:10 - 16:4:42 (25);92;;16:3:11 - 16:4:42 (28);91;;16:3:11 - 16:4:43 (30);92;;16:3:27 - 16:4:57 (27);90;;16:3:27 - 16:4:57 (24);90;;16:3:28 - 16:4:59 (26);91;;16:3:29 - 16:4:59 (29);90;;16:4:40 - 16:6:10 (31);90;;16:4:42 - 16:6:12 (28);90;;16:4:42 - 16:6:12 (25);90;;16:4:43 - 16:6:13 (30);90;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:1:6 - 16:2:13;67;164;16:1:6 - 16:2:13;67;164;16:1:8 - 16:2:15;67;164;16:1:8 - 16:2:15;67;164;16:1:54 - 16:3:9;75;181;16:1:55 - 16:3:10;75;182;16:1:56 - 16:3:11;75;181;16:1:56 - 16:3:11;75;182;16:2:13 - 16:3:27;74;185;16:2:13 - 16:3:27;74;186;16:2:15 - 16:3:28;73;186;16:2:15 - 16:3:29;74;186;
grayscaling;16:4:57 - 16:6:32 (27);95;74;16:4:57 - 16:6:33 (24);96;75;16:4:59 - 16:6:34 (26);95;74;16:4:59 - 16:6:35 (29);96;74;16:6:10 - 16:7:46 (31);96;22;16:6:12 - 16:7:48 (28);96;20;16:6:12 - 16:7:48 (25);96;22;16:6:13 - 16:7:49 (30);96;22;16:6:32 - 16:8:8 (27);96;122;16:6:33 - 16:8:8 (24);95;124;16:6:34 - 16:8:10 (26);96;122;16:6:35 - 16:8:11 (29);96;122;
errosion;16:7:46 - 16:10:10 (31);144;;16:7:48 - 16:10:12 (28);144;;16:7:48 - 16:10:12 (25);144;;16:7:49 - 16:10:13 (30);144;;16:8:8 - 16:10:32 (27);144;;16:8:8 - 16:10:32 (24);144;;16:8:10 - 16:10:34 (26);144;;16:8:11 - 16:10:34 (29);143;;16:10:10 - 16:11:49 (31);99;;16:10:12 - 16:11:50 (28);98;;16:10:12 - 16:11:51 (25);99;;16:10:13 - 16:11:51 (30);98;;


12sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:11:52 - 16:12:6;14;24;16:11:52 - 16:12:6;14;24;16:11:52 - 16:12:6;14;24;16:11:52 - 16:12:6;14;25;16:11:52 - 16:12:6;14;25;16:11:52 - 16:12:6;14;25;16:11:52 - 16:12:6;14;30;16:11:52 - 16:12:6;14;31;16:12:6 - 16:12:15;9;22;16:12:6 - 16:12:15;9;22;16:12:6 - 16:12:15;9;22;16:12:6 - 16:12:14;8;23;
grayscaling;4:12:30 - 4:12:58 (82);28;1;4:12:30 - 4:13:1 (98);31;1;4:12:30 - 4:13:4 (114);34;47;4:12:31 - 4:13:5 (109);34;46;4:12:31 - 4:13:6 (108);35;45;4:12:31 - 4:13:9 (105);38;43;4:12:36 - 4:13:25 (113);49;27;4:12:37 - 4:13:24 (88);47;28;4:12:37 - 4:13:24 (107);47;28;4:12:37 - 4:13:25 (123);48;27;4:12:37 - 4:13:26 (124);49;26;4:12:37 - 4:13:26 (28);49;26;
