sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;16:23:7 - 16:23:15 (31);8;55;16:23:9 - 16:23:17 (27);8;54;16:23:10 - 16:23:18 (28);8;66;16:23:12 - 16:23:20 (29);8;66;16:23:13 - 16:23:21 (30);8;78;16:23:15 - 16:23:23 (31);8;77;16:23:17 - 16:23:25 (27);8;80;16:23:18 - 16:23:25 (26);7;80;16:23:18 - 16:23:26 (28);8;80;16:23:19 - 16:23:27 (25);8;80;16:23:20 - 16:23:28 (29);8;80;16:23:21 - 16:23:29 (30);8;80;16:23:21 - 16:23:29 (24);8;84;16:23:23 - 16:23:31 (31);8;84;
errosion;16:24:10 - 16:24:24 (24);14;;16:24:11 - 16:24:26 (31);15;;16:24:24 - 16:24:39 (24);15;;16:24:26 - 16:24:40 (31);14;;16:24:39 - 16:24:53 (24);14;;16:24:40 - 16:24:55 (31);15;;16:24:45 - 16:25:0 (27);15;;16:24:45 - 16:25:0 (26);15;;16:24:46 - 16:25:1 (28);15;;16:24:47 - 16:25:2 (25);15;;16:24:48 - 16:25:3 (29);15;;16:24:49 - 16:25:4 (30);15;;16:24:53 - 16:25:7 (24);14;;16:24:55 - 16:25:9 (31);14;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:23:25 - 16:24:5;40;55;16:23:25 - 16:24:5;40;55;16:23:26 - 16:24:6;40;55;16:23:27 - 16:24:7;40;55;16:23:28 - 16:24:8;40;55;16:23:29 - 16:24:9;40;55;16:23:29 - 16:24:10;41;57;16:23:31 - 16:24:11;40;58;16:24:5 - 16:24:45;40;41;16:24:5 - 16:24:45;40;41;16:24:6 - 16:24:46;40;41;16:24:7 - 16:24:47;40;41;16:24:8 - 16:24:48;40;41;16:24:9 - 16:24:49;40;41;
grayscaling;16:25:0 - 16:25:26 (26);26;94;16:25:0 - 16:25:26 (27);26;94;16:25:1 - 16:25:27 (28);26;134;16:25:2 - 16:25:28 (25);26;135;16:25:3 - 16:25:29 (29);26;139;16:25:4 - 16:25:30 (30);26;138;16:25:7 - 16:25:33 (24);26;147;16:25:9 - 16:25:35 (31);26;145;16:25:26 - 16:25:52 (26);26;129;16:25:26 - 16:25:52 (27);26;131;16:25:27 - 16:25:53 (28);26;156;16:25:28 - 16:25:54 (25);26;157;16:25:29 - 16:25:55 (29);26;161;16:25:30 - 16:25:56 (30);26;160;
errosion;16:27:0 - 16:27:48 (29);48;;16:27:0 - 16:27:48 (30);48;;16:27:41 - 16:28:29 (24);48;;16:27:43 - 16:28:31 (31);48;;16:27:48 - 16:28:36 (29);48;;16:27:48 - 16:28:36 (30);48;;16:28:0 - 16:28:49 (26);49;;16:28:0 - 16:28:48 (27);48;;16:28:1 - 16:28:49 (28);48;;16:28:3 - 16:28:51 (25);48;;16:28:29 - 16:29:16 (24);47;;16:28:31 - 16:29:18 (31);47;;16:28:36 - 16:29:22 (29);46;;16:28:36 - 16:29:23 (30);47;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:25:33 - 16:26:37;64;131;16:25:35 - 16:26:39;64;130;16:25:52 - 16:26:56;64;113;16:25:52 - 16:26:56;64;115;16:25:53 - 16:26:57;64;139;16:25:54 - 16:26:58;64;140;16:25:55 - 16:27:0;65;142;16:25:56 - 16:27:0;64;143;16:26:37 - 16:27:41;64;111;16:26:39 - 16:27:43;64;109;16:26:56 - 16:28:0;64;93;16:26:56 - 16:28:0;64;94;16:26:57 - 16:28:1;64;117;16:26:58 - 16:28:3;65;116;
grayscaling;16:28:48 - 16:29:32 (27);44;32;16:28:49 - 16:29:32 (26);43;32;16:28:49 - 16:29:33 (28);44;41;16:28:51 - 16:29:34 (25);43;40;16:29:16 - 16:29:58 (24);42;16;16:29:18 - 16:29:59 (31);41;17;16:29:22 - 16:30:4 (29);42;40;16:29:23 - 16:30:4 (30);41;38;16:29:32 - 16:30:14 (27);42;65;16:29:32 - 16:30:14 (26);42;65;16:29:33 - 16:30:14 (28);41;76;16:29:34 - 16:30:16 (25);42;74;16:29:58 - 16:30:42 (24);44;49;16:29:59 - 16:30:44 (31);45;49;
errosion;16:30:4 - 16:31:19 (30);75;;16:30:4 - 16:31:19 (29);75;;16:30:14 - 16:31:30 (27);76;;16:30:14 - 16:31:30 (26);76;;16:30:14 - 16:31:31 (28);77;;16:30:16 - 16:31:33 (25);77;;16:30:44 - 16:32:2 (31);78;;16:30:42 - 16:31:59 (24);77;;16:31:19 - 16:32:28 (30);69;;16:31:19 - 16:32:28 (29);69;;16:31:30 - 16:32:36 (27);66;;16:31:30 - 16:32:36 (26);66;;16:31:31 - 16:32:37 (28);66;;16:31:33 - 16:32:38 (25);65;;


14sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:32:39 - 16:32:51;12;23;16:32:39 - 16:32:51;12;23;16:32:39 - 16:32:51;12;24;16:32:39 - 16:32:51;12;24;16:32:39 - 16:32:51;12;24;16:32:39 - 16:32:51;12;24;16:32:39 - 16:32:51;12;24;16:32:39 - 16:32:51;12;25;16:32:51 - 16:33:0;9;16;16:32:51 - 16:33:0;9;16;16:32:51 - 16:33:0;9;16;16:32:51 - 16:33:0;9;20;16:32:51 - 16:33:0;9;21;16:32:51 - 16:33:0;9;21;
grayscaling;4:33:14 - 4:33:41 (115);27;54;4:33:14 - 4:33:50 (120);36;45;4:33:15 - 4:33:52 (121);37;43;4:33:15 - 4:33:53 (104);38;42;4:33:15 - 4:33:54 (107);39;41;4:33:15 - 4:33:54 (90);39;41;4:33:15 - 4:33:57 (93);42;38;4:33:16 - 4:33:55 (112);39;40;4:33:16 - 4:33:55 (114);39;40;4:33:16 - 4:33:56 (82);40;39;4:33:16 - 4:33:56 (28);40;40;4:33:20 - 4:34:1 (110);41;35;4:33:21 - 4:34:1 (101);40;35;4:33:21 - 4:34:3 (102);42;33;
errosion;4:34:35 - 4:34:35 (95);0;;4:34:35 - 4:34:35 (103);0;;4:34:35 - 4:34:35 (99);0;;4:34:35 - 4:34:35 (100);0;;4:34:35 - 4:34:35 (92);0;;4:34:35 - 4:34:35 (95);0;;4:34:35 - 4:34:36 (106);1;;4:34:35 - 4:34:36 (99);1;;4:34:35 - 4:34:36 (100);1;;4:34:35 - 4:34:36 (98);1;;4:34:36 - 4:34:36 (103);0;;4:34:36 - 4:34:36 (83);0;;4:34:36 - 4:34:36 (95);0;;4:34:36 - 4:34:36 (105);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:33:1 - 16:33:13;12;21;16:33:1 - 16:33:13;12;21;16:33:1 - 16:33:13;12;21;16:33:1 - 16:33:13;12;23;16:33:1 - 16:33:13;12;27;16:33:1 - 16:33:13;12;24;16:33:1 - 16:33:13;12;28;16:33:1 - 16:33:13;12;28;16:33:13 - 16:33:22;9;43;16:33:13 - 16:33:23;10;37;16:33:13 - 16:33:22;9;33;16:33:13 - 16:33:22;9;39;16:33:13 - 16:33:22;9;44;16:33:13 - 16:33:23;10;61;
grayscaling;4:33:34 - 4:34:13 (126);39;23;4:33:34 - 4:34:14 (100);40;20;4:33:34 - 4:34:13 (92);39;23;4:33:36 - 4:34:15 (81);39;19;4:33:40 - 4:34:16 (33);36;20;4:33:37 - 4:34:16 (116);39;19;4:33:41 - 4:34:17 (96);36;19;4:33:41 - 4:34:16 (115);35;19;4:34:5 - 4:34:23 (114);18;12;4:34:0 - 4:34:22 (107);22;14;4:33:55 - 4:34:20 (120);25;17;4:34:1 - 4:34:22 (101);21;15;4:34:6 - 4:34:23 (97);17;13;4:34:24 - 4:34:52 (114);28;0;
errosion;4:34:36 - 4:34:36 (100);0;;4:34:34 - 4:34:35 (99);1;;4:34:36 - 4:34:36 (106);0;;4:34:34 - 4:34:35 (106);1;;4:34:36 - 4:34:36 (98);0;;4:34:35 - 4:34:35 (83);0;;4:34:36 - 4:34:36 (103);0;;4:34:35 - 4:34:35 (92);0;;4:34:35 - 4:34:35 (98);0;;4:34:36 - 4:34:36 (83);0;;4:34:37 - 4:34:37 (95);0;;4:34:37 - 4:34:37 (105);0;;4:34:36 - 4:34:37 (92);1;;4:34:52 - 4:34:53 (96);1;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:33:23 - 16:33:35;12;49;16:33:23 - 16:33:35;12;49;16:33:23 - 16:33:35;12;49;16:33:23 - 16:33:35;12;53;16:33:23 - 16:33:35;12;53;16:33:23 - 16:33:35;12;54;16:33:23 - 16:33:35;12;54;16:33:23 - 16:33:35;12;53;16:33:35 - 16:33:44;9;45;16:33:35 - 16:33:44;9;45;16:33:35 - 16:33:44;9;45;16:33:35 - 16:33:44;9;45;16:33:35 - 16:33:44;9;45;16:33:35 - 16:33:45;10;49;
grayscaling;4:34:24 - 4:34:51 (101);27;0;4:34:24 - 4:34:50 (122);26;1;4:34:24 - 4:34:51 (96);27;1;4:34:28 - 4:35:1 (121);33;65;4:34:28 - 4:35:1 (124);33;66;4:34:29 - 4:35:3 (93);34;58;4:34:29 - 4:35:4 (110);35;62;4:34:28 - 4:35:2 (112);34;65;4:34:29 - 4:35:1 (28);32;66;4:34:29 - 4:35:3 (82);34;62;4:34:29 - 4:35:3 (90);34;63;4:34:29 - 4:35:3 (104);34;64;4:34:29 - 4:35:3 (23);34;63;4:34:34 - 4:35:6 (108);32;61;
