sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.88;42756;241477
2;07.00;26593;120967
4;04.53;15159;60509
6;04.95;13307;40257
8;04.08;7358;30251
10;04.05;5759;24667
12;04.33;5343;21558
14;04.13;4445;17321
16;04.16;3751;15513
