sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.35;7865;34097
2;07.48;2950;11059
4;08.85;1434;6852
6;09.33;1168;4663
8;09.35;875;3503
10;09.36;700;2808
12;09.35;582;2338
14;09.35;498;2004
16;09.38;437;1760
