sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.88;42865;242055
2;06.88;25313;121298
4;04.45;10794;60888
6;05.11;7757;40577
8;04.25;5382;30551
10;04.51;3527;24430
12;04.15;3598;20358
14;04.20;3079;17478
16;03.75;2692;15316
