sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;04.86;7237;39929
2;04.10;3678;19987
4;04.03;1763;10012
6;03.15;1785;6694
8;03.73;1453;5003
10;03.83;1082;4007
12;04.08;931;3337
14;04.23;877;2867
16;03.41;729;2529
