sep=;

image1.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;00.45;00.23;00.11;00.13;00.13;00.16;00.16;00.16;00.15;
Overall runtime in seconds;27817;14278;7422;8056;8274;10028;10153;10111;9294;
Averge prep. time for each sub-image;7058;3588;1844;1842;1846;1720;1486;1319;1169;
Average filter time for each sub-image;20547;10463;5345;5812;5887;4489;4333;3549;2902;
Start time;15:53:50;15:55:10;15:55:39;15:56:4;15:56:27;15:56:49;15:57:15;15:57:57;15:58:25;
End time;15:54:18;15:55:24;15:55:46;15:56:12;15:56:35;15:56:59;15:57:25;15:58:7;15:58:34;

image2.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;01.20;00.61;00.31;00.31;00.33;00.41;00.35;00.45;00.31;
Overall runtime in seconds;72740;37007;19113;19538;20195;25833;21827;27890;19814;
Averge prep. time for each sub-image;18515;9331;4754;4712;4814;4293;3274;3420;2370;
Average filter time for each sub-image;53676;27103;13794;13685;12168;11299;8722;10311;6805;
Start time;15:59:19;16:0:51;16:2:12;16:2:46;16:3:20;16:3:56;16:4:33;16:5:29;16:6:12;
End time;16:0:32;16:1:28;16:2:31;16:3:6;16:3:41;16:4:22;16:4:55;16:5:57;16:6:31;

image3.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;04.01;02.03;01.05;01.05;01.15;01.25;01.40;01.26;01.25;
Overall runtime in seconds;241600;122831;63199;63050;69719;75545;84012;76968;75109;
Averge prep. time for each sub-image;61532;30925;15678;15696;15684;12446;10575;9007;7857;
Average filter time for each sub-image;178380;90213;45757;45624;48167;34270;36391;29305;27239;
Start time;16:9:15;16:15:33;16:17:57;16:19:16;16:20:38;16:22:11;16:24:52;16:27:16;16:28:49;
End time;16:13:17;16:17:36;16:19:1;16:20:19;16:21:48;16:23:26;16:26:16;16:28:33;16:30:4;

image4.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;02.60;01.31;00.68;00.76;00.65;00.81;00.80;00.93;00.96;
Overall runtime in seconds;156628;79745;41049;46651;39720;49228;48080;56389;58190;
Averge prep. time for each sub-image;39919;20058;10176;10198;10157;8030;6916;7170;5090;
Average filter time for each sub-image;115607;58558;29646;31243;27434;21562;21414;19745;21682;
Start time;16:30:33;16:36:38;16:38:20;16:39:18;16:40:19;16:41:17;16:42:32;16:43:46;16:44:59;
End time;16:33:9;16:37:57;16:39:1;16:40:4;16:40:59;16:42:6;16:43:20;16:44:42;16:45:57;

image5.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;07.10;03.60;01.85;01.91;01.85;02.25;02.51;02.01;02.53;
Overall runtime in seconds;426244;216676;111202;115311;111107;135691;151314;121413;152763;
Averge prep. time for each sub-image;108397;54461;27590;27598;27610;22138;18431;15800;13152;
Average filter time for each sub-image;314873;159242;80394;79812;80435;60899;73103;47631;58040;
Start time;16:46:29;16:57:13;17:1:0;17:3:46;17:8:15;17:10:25;17:12:54;17:15:39;17:17:54;
End time;16:53:35;17:0:50;17:2:51;17:5:42;17:10:7;17:12:40;17:15:25;17:17:41;17:20:27;

image6.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;05.46;02.76;01.41;01.43;01.41;01.70;01.75;01.78;01.86;
Overall runtime in seconds;328081;166778;85985;86035;85939;102350;105658;107971;112935;
Averge prep. time for each sub-image;82756;42004;21294;21387;21307;17070;14228;12254;11095;
Average filter time for each sub-image;243052;122540;62168;62302;62369;44757;45854;41539;41734;
Start time;17:18:1;17:24:23;17:27:29;17:29:12;17:30:56;17:32:40;17:34:54;17:37:29;17:39:38;
End time;17:23:29;17:27:10;17:28:55;17:30:38;17:32:22;17:34:23;17:36:40;17:39:17;17:41:31;
