sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.26;10734;335878
2;11.17;5980;475279
4;11.17;3287;516427
6;11.15;2363;528065
8;11.17;1892;516798
10;11.18;1471;503645
12;11.19;1255;466429
14;11.18;1147;461741
16;11.19;970;395809
