Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;8.56;14841;67343
2;7.02;6452;36364
4;5.52;3218;14976
6;7.28;2363;12965
8;7.2;1828;9729
10;7.19;1490;7782
12;7.23;1206;6560
14;7.17;1095;5612
16;7.2;946;4925
