sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.90;46312;167265
2;09.96;19616;97069
4;08.00;9339;41596
6;05.83;6495;22438
8;08.91;5384;26276
10;09.01;4308;21099
12;08.51;3577;17664
14;08.81;3061;15151
16;08.65;2175;13267
