sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.26;11297;317432
2;11.37;6057;509140
4;11.15;3661;518776
6;11.18;2396;519153
8;11.18;1613;488887
10;11.18;1368;462436
12;11.18;1130;460639
14;11.15;968;456200
16;11.19;841;391472
