sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;04.90;7224;40107
2;04.06;3590;20043
4;03.91;1419;10013
6;03.41;1166;6696
8;04.08;873;5001
10;03.53;698;4072
12;03.93;582;3350
14;03.25;500;2923
16;03.58;438;2524
