sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;15.15;10741;45844
2;11.44;3948;18020
4;11.53;1913;9217
8;12.32;1170;4699
6;12.35;1572;6286
10;12.35;934;3783
12;12.07;629;3153
14;12.38;669;2709
16;12.34;583;2360
