sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;04.70;7239;39970
2;04.15;3587;19962
4;03.88;1806;10023
6;03.30;1421;6712
8;03.71;837;5015
10;03.86;885;4093
12;03.61;716;3349
14;03.63;610;2869
16;04.31;444;2506
