sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
grayscaling;19:36:8 - 19:37:36 (31);88;109;19:36:11 - 19:37:40 (32);89;110;19:36:21 - 19:37:52 (29);91;110;19:36:22 - 19:37:52 (33);90;112;19:36:23 - 19:37:52 (35);89;111;19:36:24 - 19:37:55 (34);91;112;19:36:25 - 19:37:55 (26);90;112;19:36:28 - 19:37:58 (30);90;112;19:36:28 - 19:37:57 (27);89;111;19:36:31 - 19:38:1 (28);90;111;
errosion;19:39:25 - 19:41:38 (31);133;;19:39:30 - 19:41:53 (32);143;;19:39:42 - 19:41:51 (35);129;;19:39:44 - 19:42:2 (33);138;;19:39:43 - 19:42:4 (29);141;;19:39:47 - 19:42:4 (34);137;;19:39:47 - 19:42:5 (26);138;;19:39:50 - 19:42:7 (30);137;;19:39:48 - 19:41:58 (27);130;;19:39:52 - 19:41:59 (28);127;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:37:36 - 19:39:25;109;133;19:37:40 - 19:39:30;110;141;19:37:52 - 19:39:43;111;130;19:37:52 - 19:39:42;110;136;19:37:52 - 19:39:44;112;140;19:37:55 - 19:39:47;112;137;19:37:55 - 19:39:47;112;137;19:37:57 - 19:39:48;111;136;19:37:58 - 19:39:50;112;135;19:38:1 - 19:39:52;111;135;
grayscaling;19:41:38 - 19:44:3 (31);145;0;19:41:51 - 19:44:6 (35);135;0;19:41:53 - 19:44:8 (32);135;0;19:41:58 - 19:44:14 (27);136;0;19:42:4 - 19:44:25 (28);141;0;19:42:4 - 19:44:33 (33);149;0;19:42:4 - 19:44:33 (34);149;0;19:42:4 - 19:44:34 (29);150;0;19:42:5 - 19:44:34 (26);149;0;19:42:7 - 19:44:36 (30);149;0;
errosion;19:44:3 - 19:47:33 (31);210;;19:44:6 - 19:47:33 (35);207;;19:44:8 - 19:47:34 (32);206;;19:44:14 - 19:47:40 (27);206;;19:44:25 - 19:47:47 (28);202;;19:44:33 - 19:47:59 (33);206;;19:44:33 - 19:48:1 (34);208;;19:44:34 - 19:47:59 (29);205;;19:44:34 - 19:47:59 (26);205;;19:44:36 - 19:48:1 (30);205;;


