sep=;
6sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;6:50:7 - 6:50:49 (122);42;0;6:50:7 - 6:50:49 (126);42;1;6:50:7 - 6:50:51 (111);44;1;6:50:8 - 6:50:52 (116);44;1;6:50:12 - 6:51:2 (106);50;4;6:50:12 - 6:51:3 (105);51;4;
errosion;6:50:49 - 6:50:50 (85);1;;6:50:50 - 6:50:50 (84);0;;6:50:52 - 6:50:52 (122);0;;6:50:53 - 6:50:53 (122);0;;6:51:6 - 6:51:7 (93);1;;6:51:7 - 6:51:7 (93);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:50:5 - 18:50:30;25;0;18:50:5 - 18:50:30;25;1;18:50:5 - 18:50:30;25;5;18:50:5 - 18:50:30;25;4;18:50:5 - 18:50:30;25;9;18:50:5 - 18:50:30;25;8;
grayscaling;6:50:30 - 6:51:38 (86);68;1;6:50:31 - 6:51:40 (127);69;0;6:50:35 - 6:51:45 (31);70;0;6:50:34 - 6:51:44 (107);70;0;6:50:39 - 6:51:47 (92);68;1;6:50:38 - 6:51:47 (36);69;0;
errosion;6:51:39 - 6:51:39 (86);0;;6:51:40 - 6:51:40 (86);0;;6:51:45 - 6:51:46 (31);1;;6:51:44 - 6:51:45 (107);1;;6:51:48 - 6:51:48 (92);0;;6:51:47 - 6:51:48 (107);1;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:50:31 - 18:50:56;25;1;18:50:31 - 18:50:56;25;4;18:50:31 - 18:50:56;25;0;18:50:31 - 18:50:56;25;5;18:50:31 - 18:50:57;26;6;18:50:31 - 18:50:57;26;6;
grayscaling;6:50:57 - 6:51:58 (116);61;1;6:51:0 - 6:51:59 (123);59;1;6:50:56 - 6:51:57 (85);61;1;6:51:1 - 6:52:0 (121);59;0;6:51:3 - 6:52:0 (106);57;1;6:51:3 - 6:52:0 (105);57;0;
errosion;6:51:59 - 6:51:59 (116);0;;6:52:0 - 6:52:0 (85);0;;6:51:58 - 6:51:58 (85);0;;6:52:0 - 6:52:0 (107);0;;6:52:1 - 6:52:1 (121);0;;6:52:0 - 6:52:1 (106);1;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:50:57 - 18:52:25;88;0;18:50:57 - 18:52:25;88;0;18:50:57 - 18:52:24;87;2;18:50:57 - 18:52:24;87;2;18:50:57 - 18:52:24;87;3;18:50:57 - 18:52:25;88;2;
grayscaling;6:52:25 - 6:54:27 (105);122;0;6:52:25 - 6:54:25 (85);120;1;6:52:26 - 6:54:28 (102);122;1;6:52:26 - 6:54:27 (118);121;1;6:52:27 - 6:54:28 (103);121;2;6:52:27 - 6:54:29 (94);122;1;
errosion;6:54:27 - 6:54:28 (120);1;;6:54:26 - 6:54:27 (85);1;;6:54:29 - 6:54:29 (120);0;;6:54:28 - 6:54:29 (102);1;;6:54:30 - 6:54:30 (118);0;;6:54:30 - 6:54:30 (105);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:52:25 - 18:54:47;142;1;18:52:25 - 18:54:47;142;3;18:52:25 - 18:54:48;143;1;18:52:25 - 18:54:48;143;3;18:52:25 - 18:54:46;141;7;18:52:25 - 18:54:48;143;5;
grayscaling;6:54:48 - 6:58:1 (94);193;1;6:54:50 - 6:58:6 (124);196;1;6:54:49 - 6:58:4 (118);195;1;6:54:51 - 6:58:6 (112);195;2;6:54:53 - 6:58:8 (90);195;1;6:54:53 - 6:58:8 (104);195;2;
errosion;6:58:2 - 6:58:3 (32);1;;6:58:7 - 6:58:7 (112);0;;6:58:5 - 6:58:6 (32);1;;6:58:8 - 6:58:8 (94);0;;6:58:9 - 6:58:9 (104);0;;6:58:10 - 6:58:10 (94);0;;


