sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
errosion;20:12:35 - 20:13:12 (32);37;;20:12:35 - 20:13:15 (35);40;;20:12:42 - 20:13:28 (33);46;;20:12:36 - 20:13:12 (36);36;;20:12:30 - 20:13:7 (28);37;;20:12:44 - 20:13:19 (31);35;;20:12:43 - 20:13:23 (39);40;;20:12:43 - 20:13:30 (38);47;;20:12:43 - 20:13:34 (37);51;;20:12:46 - 20:13:32 (34);46;;20:12:50 - 20:13:32 (29);42;;20:12:59 - 20:13:37 (30);38;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:11:28 - 20:12:42;74;25;20:11:28 - 20:12:30;62;42;20:11:29 - 20:12:43;74;29;20:11:30 - 20:12:43;73;32;20:11:31 - 20:12:43;72;36;20:11:32 - 20:12:35;63;48;20:11:32 - 20:12:46;74;42;20:11:33 - 20:12:36;63;54;20:11:33 - 20:12:35;62;57;20:11:35 - 20:12:50;75;42;20:11:41 - 20:12:44;63;50;20:11:46 - 20:12:59;73;38;
grayscaling;20:13:7 - 20:14:36 (28);89;88;20:13:12 - 20:14:41 (32);89;88;20:13:12 - 20:14:35 (36);83;86;20:13:15 - 20:14:38 (35);83;91;20:13:19 - 20:14:42 (31);83;108;20:13:23 - 20:14:55 (39);92;108;20:13:28 - 20:15:6 (33);98;124;20:13:30 - 20:15:8 (38);98;124;20:13:32 - 20:15:10 (34);98;124;20:13:32 - 20:15:16 (29);104;125;20:13:34 - 20:15:13 (37);99;124;20:13:37 - 20:15:17 (30);100;124;
errosion;20:16:4 - 20:18:9 (28);125;;20:16:9 - 20:18:13 (31);124;;20:16:1 - 20:18:9 (36);128;;20:16:9 - 20:18:17 (32);128;;20:16:30 - 20:18:37 (39);127;;20:16:43 - 20:18:51 (35);128;;20:17:10 - 20:19:34 (33);144;;20:17:12 - 20:19:35 (38);143;;20:17:14 - 20:19:38 (34);144;;20:17:21 - 20:19:43 (30);142;;20:17:17 - 20:19:42 (37);145;;20:17:21 - 20:19:44 (29);143;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:14:35 - 20:16:1;86;128;20:14:36 - 20:16:4;88;125;20:14:38 - 20:16:43;125;90;20:14:41 - 20:16:9;88;128;20:14:42 - 20:16:9;87;149;20:14:55 - 20:16:30;95;141;20:15:6 - 20:17:10;124;144;20:15:8 - 20:17:12;124;143;20:15:10 - 20:17:14;124;144;20:15:13 - 20:17:17;124;145;20:15:16 - 20:17:21;125;142;20:15:17 - 20:17:21;124;143;
grayscaling;20:18:9 - 20:20:20 (36);131;0;20:18:9 - 20:20:36 (28);147;0;20:18:13 - 20:20:26 (31);133;0;20:18:17 - 20:20:31 (32);134;0;20:18:38 - 20:20:57 (39);139;0;20:18:51 - 20:21:15 (35);144;0;20:19:34 - 20:22:8 (33);154;0;20:19:35 - 20:21:59 (38);144;0;20:19:38 - 20:22:3 (34);145;0;20:19:42 - 20:22:6 (37);144;0;20:19:43 - 20:22:9 (30);146;0;20:19:44 - 20:22:10 (29);146;0;
errosion;20:20:20 - 20:23:50 (36);210;;20:20:36 - 20:24:1 (28);205;;20:20:26 - 20:24:6 (31);220;;20:20:31 - 20:23:56 (32);205;;20:20:57 - 20:24:16 (39);199;;20:21:15 - 20:24:27 (35);192;;20:22:8 - 20:25:0 (33);172;;20:21:59 - 20:24:57 (38);178;;20:22:3 - 20:24:59 (34);176;;20:22:6 - 20:25:0 (37);174;;20:22:9 - 20:25:1 (30);172;;20:22:10 - 20:25:3 (29);173;;


12sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:25:3 - 20:25:24;21;21;20:25:3 - 20:25:24;21;41;20:25:3 - 20:25:24;21;41;20:25:3 - 20:25:24;21;42;20:25:3 - 20:25:24;21;42;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;20:25:3 - 20:25:24;21;43;
grayscaling;8:25:45 - 8:25:52 (126);7;106;8:26:5 - 8:26:35 (118);30;62;8:26:5 - 8:26:36 (126);31;154;8:26:6 - 8:26:45 (98);39;146;8:26:6 - 8:26:47 (104);41;69;8:26:7 - 8:26:46 (111);39;145;8:26:7 - 8:26:46 (125);39;64;8:26:7 - 8:26:48 (107);41;143;8:26:7 - 8:26:47 (97);40;66;8:26:7 - 8:26:47 (99);40;144;8:26:7 - 8:26:48 (128);41;67;8:26:7 - 8:26:47 (124);40;144;
errosion;8:27:38 - 8:27:38 (32);0;;8:27:37 - 8:27:37 (32);0;;8:29:10 - 8:29:10 (112);0;;8:29:11 - 8:29:11 (126);0;;8:27:56 - 8:27:56 (129);0;;8:29:11 - 8:29:11 (112);0;;8:27:50 - 8:27:50 (100);0;;8:29:11 - 8:29:11 (112);0;;8:27:53 - 8:27:54 (100);1;;8:29:11 - 8:29:11 (126);0;;8:27:55 - 8:27:55 (117);0;;8:29:11 - 8:29:11 (112);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:25:24 - 20:25:43;19;24;20:25:24 - 20:25:45;21;33;20:25:24 - 20:25:46;22;51;20:25:24 - 20:25:44;20;45;20:25:24 - 20:25:46;22;51;20:25:24 - 20:25:45;21;58;20:25:24 - 20:25:45;21;84;20:25:24 - 20:25:44;20;67;20:25:24 - 20:25:45;21;67;20:25:24 - 20:25:45;21;89;20:25:24 - 20:25:44;20;87;20:25:24 - 20:25:46;22;92;
grayscaling;8:26:7 - 8:26:48 (113);41;67;8:26:18 - 8:26:53 (103);35;138;8:26:37 - 8:27:1 (95);24;82;8:26:29 - 8:26:58 (108);29;130;8:26:37 - 8:27:0 (126);23;131;8:26:43 - 8:27:2 (120);19;127;8:27:9 - 8:27:16 (99);7;53;8:26:51 - 8:27:4 (97);13;127;8:26:52 - 8:27:4 (113);12;125;8:27:14 - 8:27:39 (100);25;93;8:27:11 - 8:27:20 (124);9;109;8:27:18 - 8:27:56 (102);38;72;
errosion;8:27:55 - 8:27:55 (117);0;;8:29:11 - 8:29:11 (126);0;;8:28:23 - 8:28:23 (92);0;;8:29:8 - 8:29:8 (126);0;;8:29:11 - 8:29:12 (126);1;;8:29:9 - 8:29:9 (126);0;;8:28:9 - 8:28:9 (102);0;;8:29:11 - 8:29:12 (112);1;;8:29:9 - 8:29:9 (112);0;;8:29:12 - 8:29:12 (112);0;;8:29:9 - 8:29:9 (95);0;;8:29:8 - 8:29:8 (95);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:25:46 - 20:26:6;20;72;20:25:46 - 20:26:2;16;76;20:25:46 - 20:26:6;20;72;20:25:46 - 20:26:6;20;72;20:25:46 - 20:26:6;20;72;20:25:46 - 20:26:5;19;73;20:25:46 - 20:26:10;24;68;20:25:46 - 20:26:9;23;69;20:25:46 - 20:26:2;16;77;20:25:46 - 20:26:3;17;77;20:25:46 - 20:26:2;16;80;20:25:46 - 20:26:6;20;108;
grayscaling;8:27:18 - 8:27:56 (99);38;73;8:27:18 - 8:27:55 (117);37;77;8:27:18 - 8:27:55 (127);37;74;8:27:18 - 8:27:57 (91);39;72;8:27:18 - 8:27:55 (129);37;77;8:27:18 - 8:27:56 (92);38;74;8:27:18 - 8:27:57 (31);39;72;8:27:18 - 8:27:57 (114);39;75;8:27:19 - 8:27:58 (30);39;72;8:27:20 - 8:27:57 (124);37;72;8:27:22 - 8:27:58 (106);36;75;8:27:54 - 8:28:3 (32);9;67;
errosion;8:29:9 - 8:29:10 (126);1;;8:29:12 - 8:29:12 (112);0;;8:29:9 - 8:29:9 (95);0;;8:29:9 - 8:29:10 (112);1;;8:29:12 - 8:29:13 (112);1;;8:29:10 - 8:29:10 (112);0;;8:29:9 - 8:29:9 (126);0;;8:29:12 - 8:29:12 (112);0;;8:29:10 - 8:29:10 (95);0;;8:29:9 - 8:29:9 (112);0;;8:29:13 - 8:29:13 (126);0;;8:29:10 - 8:29:10 (95);0;;


