sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
preparation;19:5:15 - 19:7:6;111;135;19:5:16 - 19:7:7;111;135;19:5:16 - 19:7:8;112;135;19:5:17 - 19:7:8;111;136;19:5:18 - 19:7:10;112;135;19:5:19 - 19:7:11;112;134;19:5:19 - 19:7:11;112;135;19:5:21 - 19:7:13;112;135;
grayscaling;19:9:21 - 19:11:45 (27);144;0;19:9:22 - 19:11:46 (28);144;0;19:9:23 - 19:11:46 (24);143;0;19:9:24 - 19:11:47 (26);143;0;19:9:25 - 19:11:49 (30);144;0;19:9:25 - 19:11:49 (31);144;0;19:9:26 - 19:11:50 (25);144;0;19:9:28 - 19:11:51 (29);143;0;
errosion;19:11:45 - 19:15:20 (27);215;;19:11:46 - 19:15:21 (28);215;;19:11:46 - 19:15:22 (24);216;;19:11:47 - 19:15:23 (26);216;;19:11:49 - 19:15:24 (30);215;;19:11:49 - 19:15:24 (31);215;;19:11:50 - 19:15:24 (25);214;;19:11:51 - 19:15:25 (29);214;;


8sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:15:25 - 19:15:47;22;83;19:15:25 - 19:15:46;21;91;19:15:25 - 19:15:46;21;90;19:15:25 - 19:15:47;22;89;19:15:25 - 19:15:47;22;113;19:15:25 - 19:15:46;21;114;19:15:25 - 19:15:46;21;110;19:15:25 - 19:15:46;21;114;
grayscaling;7:17:10 - 7:17:22 (104);12;133;7:17:17 - 7:17:32 (99);15;132;7:17:16 - 7:17:30 (94);14;135;7:17:16 - 7:17:31 (30);15;123;7:17:40 - 7:17:58 (36);18;107;7:17:40 - 7:17:59 (121);19;95;7:17:36 - 7:17:51 (99);15;113;7:17:40 - 7:18:0 (123);20;104;
errosion;7:19:35 - 7:19:35 (123);0;;7:19:44 - 7:19:45 (93);1;;7:19:45 - 7:19:45 (94);0;;7:19:34 - 7:19:35 (100);1;;7:19:45 - 7:19:46 (112);1;;7:19:34 - 7:19:35 (85);1;;7:19:44 - 7:19:44 (94);0;;7:19:44 - 7:19:45 (112);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:15:47 - 19:16:8;21;108;19:15:47 - 19:16:8;21;135;19:15:47 - 19:16:8;21;108;19:15:47 - 19:16:8;21;103;19:15:47 - 19:16:8;21;110;19:15:47 - 19:16:8;21;114;19:15:47 - 19:16:8;21;140;19:15:47 - 19:16:8;21;115;
grayscaling;7:17:56 - 7:18:23 (124);27;82;7:18:23 - 7:18:38 (107);15;56;7:17:56 - 7:18:23 (107);27;81;7:17:51 - 7:18:16 (116);25;79;7:17:58 - 7:18:25 (96);27;70;7:18:2 - 7:18:28 (36);26;76;7:18:28 - 7:18:40 (96);12;65;7:18:3 - 7:18:29 (123);26;66;
errosion;7:19:45 - 7:19:45 (30);0;;7:19:34 - 7:19:35 (111);1;;7:19:44 - 7:19:45 (90);1;;7:19:35 - 7:19:35 (120);0;;7:19:35 - 7:19:35 (85);0;;7:19:44 - 7:19:45 (97);1;;7:19:45 - 7:19:46 (99);1;;7:19:35 - 7:19:35 (123);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:16:8 - 19:16:30;22;105;19:16:8 - 19:16:30;22;129;19:16:8 - 19:16:29;21;138;19:16:8 - 19:16:29;21;139;19:16:8 - 19:16:29;21;140;19:16:8 - 19:16:29;21;144;19:16:8 - 19:16:30;22;148;19:16:8 - 19:16:30;22;148;
grayscaling;7:18:15 - 7:18:35 (101);20;69;7:18:39 - 7:18:48 (36);9;47;7:18:47 - 7:19:3 (103);16;42;7:18:48 - 7:19:10 (126);22;25;7:18:49 - 7:19:12 (102);23;33;7:18:53 - 7:19:17 (127);24;18;7:18:58 - 7:19:20 (106);22;24;7:18:58 - 7:19:20 (95);22;15;
