sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.91;46333;167682
2;7.35;24940;98200
4;4.96;12082;36553
6;06.73;7361;32203
8;06.50;5473;26504
10;07.01;4393;21318
12;06.56;3625;17921
14;06.85;3109;15317
16;06.65;2718;13641
