sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;09.01;14570;65736
2;07.21;6791;32540
4;05.58;2943;13553
6;07.17;1872;11479
8;07.34;1700;8685
10;07.31;1359;6968
12;07.39;1151;5875
14;07.33;983;4968
16;07.38;856;4413
