sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;04.61;7052;40327
2;04.43;3570;20187
4;04.36;1437;10114
6;03.80;956;6751
8;04.25;888;5104
10;04.28;702;4031
12;03.88;588;3378
14;03.91;400;2870
16;04.08;441;2531
