Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.32;12735;249652
2;11.18;6048;477188
4;11.15;3461;514028
6;11.14;2445;531490
8;11.35;2300;515961
10;11.18;1471;503645
12;11.18;1353;472473
14;11.19;1179;457401
16;11.33;923;395286
