sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.95;46586;168334
2;07.33;23580;97920
4;04.43;12315;31594
6;05.60;12233;43606
8;06.28;11337;49312
10;06.75;7688;39300
12;06.38;6024;29146
14;06.46;5594;28482
16;05.45;4447;22063
