sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.86;42826;242042
2;06.88;25311;121138
4;04.58;11720;60961
6;05.33;7040;40553
8;03.78;5363;30452
10;03.16;4313;24608
12;04.03;3558;20409
14;04.85;3039;17359
16;04.08;2656;15291
