sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.90;42904;241887
2;06.86;25343;120907
4;03.60;12703;61706
6;03.08;12675;46008
8;04.13;12459;30533
10;04.15;7598;24182
12;04.45;6155;20173
14;03.83;5566;19911
16;03.46;5468;18167
