sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.40;15508;166944
2;11.34;7897;170438
4;11.33;4096;160788
6;11.36;2878;135091
8;11.23;1390;333235
10;11.23;883;407953
12;11.27;1079;252349
14;11.25;780;346866
16;11.24;675;345858
