sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.9;42878;240446
2;6.88;25305;121200
4;3.83;12725;60755
6;4.3;12680;40491
8;4.58;8716;30282
10;04.50;6588;24200
12;04.55;5770;20185
14;03.91;5456;17644
16;02.90;4496;21783
