sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;21.58;6831;33640
2;17.28;2881;13319
4;17.58;1413;6826
6;17.75;933;4610
8;18.46;865;3462
10;18.46;691;2769
12;18.51;576;2315
14;18.48;493;1981
16;18.55;432;1740

