sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;09.25;10828;54072
2;08.17;4577;25579
4;08.05;2233;12700
6;08.52;1832;9092
8;09.01;1395;6957
10;08.57;1107;5512
12;08.35;744;4554
14;08.48;645;3977
16;08.48;682;3399
