sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;07.85;7944;34386
2;06.16;3557;13527
4;07.21;1443;8384
6;07.20;957;5786
8;07.48;881;4351
10;07.50;705;3489
12;07.46;585;2913
14;07.50;502;2497
16;07.50;438;2187
