sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.93;46354;167885
2;07.33;24885;97875
4;04.55;12994;31485
6;04.98;9228;39009
8;06.51;7630;35138
10;06.45;5653;27841
12;06.33;4402;26467
14;06.73;4530;21990
16;05.26;3196;14679
