sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;30.24;10701;46278
2;23.12;3809;17942
4;23.30;1884;9129
6;24.44;1539;6189
8;24.45;1154;4646
10;24.47;924;3720
12;24.47;768;3103
14;24.48;659;2662
16;24.50;576;2332
