sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;05.30;8144;40033
2;03.85;3676;20015
4;03.73;1801;10009
6;03.18;1190;6824
8;03.25;894;5108
10;03.75;716;4007
12;03.68;597;3340
14;03.33;510;2973
16;03.65;447;2508
