sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.44;11033;46908
2;08.07;3968;18418
4;09.55;1974;11546
6;10.11;1594;7893
8;10.15;1199;5953
10;10.19;955;4788
12;10.28;809;4060
14;10.20;686;3441
16;10.22;598;3015
