Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.27;11147;325068
2;11.15;6058;471673
4;11.14;3242;495917
6;11.16;2116;521561
8;11.15;1211;521138
10;11.17;1149;508394
12;11.17;978;502403
14;11.16;665;454484
16;11.16;718;396124
