sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;06.28;8113;34458
2;05.30;3059;16419
4;04.68;1499;7142
6;05.70;1186;5854
8;05.61;730;4452
10;05.70;713;3514
12;05.73;593;2944
14;05.71;507;2517
16;05.81;446;2243
