sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;20.51;38942;166086
2;24.20;18371;102509
4;25.00;10545;51907
6;20.48;7056;27050
8;21.01;5253;20999
10;21.05;4204;16817
12;21.03;3494;14016
14;21.08;3004;12036
16;21.08;2631;10533
