sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;06.30;8121;34488
2;05.28;3015;16539
4;04.65;1503;7085
6;05.53;1426;8629
8;05.70;1305;6294
10;05.70;937;4636
12;05.80;854;4376
14;05.75;730;3698
16;05.71;618;3089
