sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.28;10919;332396
2;11.17;5645;487714
4;11.19;2771;495932
6;11.18;1908;491266
8;11.20;1171;497621
10;11.20;716;502113
12;11.21;742;492933
14;11.20;632;465435
16;11.22;550;397871
