sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;10.98;46909;168211
2;06.00;23659;77621
4;04.96;12416;38335
6;06.63;7113;38665
8;06.68;6279;31933
10;06.53;5395;26503
12;06.88;4413;21639
14;06.48;3704;18296
16;06.80;3270;16487
