sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:41:50 - 14:41:57;7;73;14:41:51 - 14:41:58;7;72;14:41:53 - 14:42:0;7;74;14:41:54 - 14:42:1;7;74;14:41:57 - 14:42:4;7;71;14:41:58 - 14:42:5;7;71;14:42:0 - 14:42:7;7;72;14:42:1 - 14:42:8;7;71;14:42:4 - 14:42:11;7;68;14:42:5 - 14:42:11;6;69;14:42:7 - 14:42:14;7;69;14:42:8 - 14:42:15;7;68;14:42:11 - 14:42:17;6;66;14:42:11 - 14:42:18;7;67;14:42:14 - 14:42:21;7;66;14:42:15 - 14:42:22;7;65;
grayscaling;14:43:10 - 14:43:14 (20);4;103;14:43:10 - 14:43:15 (21);5;105;14:43:14 - 14:43:19 (20);5;101;14:43:15 - 14:43:19 (21);4;102;14:43:15 - 14:43:19 (22);4;111;14:43:16 - 14:43:20 (23);4;112;14:43:19 - 14:43:23 (20);4;111;14:43:19 - 14:43:23 (21);4;109;14:43:19 - 14:43:23 (22);4;120;14:43:20 - 14:43:25 (23);5;120;14:43:23 - 14:43:27 (21);4;120;14:43:23 - 14:43:27 (20);4;118;14:43:23 - 14:43:28 (22);5;128;14:43:25 - 14:43:29 (23);4;129;14:43:27 - 14:43:31 (20);4;129;14:43:27 - 14:43:31 (21);4;127;
errosion;14:44:57 - 14:45:10 (22);13;;14:45:0 - 14:45:12 (20);12;;14:45:0 - 14:45:12 (21);12;;14:45:1 - 14:45:14 (23);13;;14:45:10 - 14:45:23 (22);13;;14:45:12 - 14:45:25 (20);13;;14:45:14 - 14:45:27 (23);13;;14:45:12 - 14:45:25 (21);13;;14:45:23 - 14:45:36 (22);13;;14:45:25 - 14:45:38 (20);13;;14:45:27 - 14:45:40 (23);13;;14:45:25 - 14:45:38 (21);13;;14:45:36 - 14:45:49 (22);13;;14:45:38 - 14:45:51 (21);13;;14:45:40 - 14:45:53 (23);13;;14:45:38 - 14:45:51 (20);13;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:43:28 - 14:43:50;22;119;14:43:29 - 14:43:52;23;119;14:43:31 - 14:43:53;22;118;14:43:31 - 14:43:53;22;120;14:43:50 - 14:44:12;22;112;14:43:52 - 14:44:14;22;111;14:43:53 - 14:44:16;23;109;14:43:53 - 14:44:16;23;111;14:44:12 - 14:44:33;21;105;14:44:14 - 14:44:37;23;102;14:44:16 - 14:44:38;22;102;14:44:16 - 14:44:38;22;103;14:44:33 - 14:44:57;24;95;14:44:37 - 14:45:1;24;93;14:44:38 - 14:45:0;22;94;14:44:38 - 14:45:0;22;96;
grayscaling;14:45:49 - 14:46:4 (22);15;186;14:45:51 - 14:46:5 (21);14;185;14:45:51 - 14:46:5 (20);14;188;14:45:53 - 14:46:7 (23);14;190;14:46:4 - 14:46:18 (22);14;214;14:46:5 - 14:46:19 (21);14;213;14:46:5 - 14:46:20 (20);15;215;14:46:7 - 14:46:21 (23);14;219;14:46:18 - 14:46:32 (22);14;243;14:46:19 - 14:46:34 (21);15;241;14:46:20 - 14:46:34 (20);14;243;14:46:21 - 14:46:36 (23);15;247;14:46:32 - 14:46:46 (22);14;270;14:46:34 - 14:46:48 (21);14;269;14:46:34 - 14:46:50 (20);16;271;14:46:36 - 14:46:51 (23);15;276;
errosion;14:49:10 - 14:49:52 (22);42;;14:49:10 - 14:49:52 (21);42;;14:49:13 - 14:49:55 (20);42;;14:49:17 - 14:50:0 (23);43;;14:49:52 - 14:50:35 (22);43;;14:49:52 - 14:50:35 (21);43;;14:49:55 - 14:50:37 (20);42;;14:50:0 - 14:50:43 (23);43;;14:50:35 - 14:51:16 (21);41;;14:50:35 - 14:51:17 (22);42;;14:50:37 - 14:51:21 (20);44;;14:50:43 - 14:51:27 (23);44;;14:51:16 - 14:51:57 (21);41;;14:51:17 - 14:52:0 (22);43;;14:51:21 - 14:52:1 (20);40;;14:51:27 - 14:52:9 (23);42;;
