sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
preparation;12:30:38 - 12:31:57;79;249;12:30:39 - 12:31:57;78;251;12:30:40 - 12:32:1;81;258;12:30:40 - 12:32:0;80;259;12:31:57 - 12:33:12;75;221;12:31:57 - 12:33:12;75;223;12:32:0 - 12:33:18;78;230;12:32:1 - 12:33:18;77;230;
grayscaling;12:36:6 - 12:36:53 (23);47;46;12:36:8 - 12:36:55 (22);47;47;12:36:19 - 12:37:8 (21);49;48;12:36:19 - 12:37:8 (20);49;49;12:36:53 - 12:37:39 (23);46;141;12:36:55 - 12:37:42 (22);47;142;12:37:8 - 12:37:56 (21);48;143;12:37:8 - 12:37:57 (20);49;146;
errosion;12:37:39 - 12:40:0 (23);141;;12:37:42 - 12:40:4 (22);142;;12:37:56 - 12:40:23 (21);147;;12:37:57 - 12:40:19 (20);142;;12:40:0 - 12:42:20 (23);140;;12:40:4 - 12:42:26 (22);142;;12:40:19 - 12:42:42 (20);143;;12:40:23 - 12:42:46 (21);143;;


8sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:42:46 - 12:43:0;14;17;12:42:46 - 12:43:1;15;18;12:42:46 - 12:43:1;15;18;12:42:46 - 12:43:1;15;18;12:43:0 - 12:43:15;15;5;12:43:1 - 12:43:16;15;4;12:43:1 - 12:43:16;15;4;12:43:1 - 12:43:16;15;4;
grayscaling;0:43:17 - 0:43:48 (85);31;1;0:43:19 - 0:44:3 (109);44;0;0:43:19 - 0:44:4 (35);45;0;0:43:19 - 0:44:5 (125);46;0;0:43:20 - 0:44:7 (97);47;0;0:43:20 - 0:44:7 (87);47;1;0:43:20 - 0:44:7 (84);47;1;0:43:20 - 0:44:8 (93);48;0;
errosion;0:43:49 - 0:43:49 (106);0;;0:44:3 - 0:44:4 (98);1;;0:44:4 - 0:44:4 (91);0;;0:44:5 - 0:44:6 (104);1;;0:44:7 - 0:44:7 (98);0;;0:44:8 - 0:44:8 (104);0;;0:44:8 - 0:44:8 (106);0;;0:44:8 - 0:44:8 (103);0;;


