sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;14:13:2 - 14:13:7 (23);5;97;14:13:4 - 14:13:9 (20);5;95;14:13:7 - 14:13:12 (23);5;108;14:13:9 - 14:13:14 (20);5;107;14:13:12 - 14:13:16 (23);4;113;14:13:12 - 14:13:17 (22);5;113;14:13:14 - 14:13:19 (20);5;118;14:13:15 - 14:13:20 (21);5;118;14:13:16 - 14:13:21 (23);5;123;14:13:17 - 14:13:22 (22);5;124;14:13:19 - 14:13:24 (20);5;129;14:13:20 - 14:13:25 (21);5;130;14:13:21 - 14:13:26 (23);5;134;14:13:22 - 14:13:27 (22);5;135;
errosion;14:14:44 - 14:15:0 (22);16;;14:14:44 - 14:15:1 (21);17;;14:15:0 - 14:15:17 (22);17;;14:15:1 - 14:15:18 (21);17;;14:15:9 - 14:15:24 (23);15;;14:15:10 - 14:15:26 (20);16;;14:15:17 - 14:15:33 (22);16;;14:15:18 - 14:15:35 (21);17;;14:15:24 - 14:15:40 (23);16;;14:15:26 - 14:15:42 (20);16;;14:15:33 - 14:15:49 (22);16;;14:15:35 - 14:15:50 (21);15;;14:15:40 - 14:15:54 (23);14;;14:15:42 - 14:15:56 (20);14;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:13:24 - 14:13:50;26;119;14:13:25 - 14:13:51;26;119;14:13:26 - 14:13:51;25;123;14:13:27 - 14:13:53;26;123;14:13:50 - 14:14:15;25;110;14:13:51 - 14:14:17;26;110;14:13:51 - 14:14:16;25;114;14:13:53 - 14:14:18;25;115;14:14:15 - 14:14:43;28;99;14:14:16 - 14:14:43;27;101;14:14:17 - 14:14:44;27;103;14:14:18 - 14:14:44;26;105;14:14:43 - 14:15:9;26;89;14:14:43 - 14:15:10;27;90;
grayscaling;14:15:49 - 14:16:5 (22);16;171;14:15:50 - 14:16:7 (21);17;175;14:15:54 - 14:16:10 (23);16;195;14:15:56 - 14:16:13 (20);17;197;14:16:5 - 14:16:22 (22);17;204;14:16:7 - 14:16:24 (21);17;209;14:16:10 - 14:16:27 (23);17;227;14:16:13 - 14:16:29 (20);16;230;14:16:22 - 14:16:38 (22);16;236;14:16:24 - 14:16:40 (21);16;242;14:16:27 - 14:16:42 (23);15;261;14:16:29 - 14:16:45 (20);16;264;14:16:38 - 14:16:55 (22);17;268;14:16:40 - 14:16:57 (21);17;276;
errosion;14:18:56 - 14:19:46 (22);50;;14:19:2 - 14:19:53 (21);51;;14:19:25 - 14:20:14 (23);49;;14:19:30 - 14:20:19 (20);49;;14:19:46 - 14:20:34 (22);48;;14:19:53 - 14:20:42 (21);49;;14:20:14 - 14:21:3 (23);49;;14:20:19 - 14:21:9 (20);50;;14:20:34 - 14:21:23 (22);49;;14:20:42 - 14:21:33 (21);51;;14:21:3 - 14:21:50 (23);47;;14:21:9 - 14:21:57 (20);48;;14:21:23 - 14:22:11 (22);48;;14:21:33 - 14:22:23 (21);50;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:16:42 - 14:17:23;41;267;14:16:45 - 14:17:26;41;271;14:16:55 - 14:17:35;40;276;14:16:57 - 14:17:38;41;277;14:17:23 - 14:18:3;40;259;14:17:26 - 14:18:7;41;256;14:17:35 - 14:18:15;40;261;14:17:38 - 14:18:20;42;260;14:18:3 - 14:18:44;41;244;14:18:7 - 14:18:48;41;241;14:18:15 - 14:18:56;41;247;14:18:20 - 14:19:2;42;245;14:18:44 - 14:19:25;41;230;14:18:48 - 14:19:30;42;226;
grayscaling;14:21:50 - 14:22:15 (23);25;75;14:21:57 - 14:22:22 (20);25;70;14:22:11 - 14:22:36 (22);25;67;14:22:15 - 14:22:40 (23);25;64;14:22:22 - 14:22:48 (20);26;121;14:22:23 - 14:22:49 (21);26;121;14:22:36 - 14:23:3 (22);27;117;14:22:40 - 14:23:7 (23);27;117;14:22:48 - 14:23:15 (20);27;171;14:22:49 - 14:23:16 (21);27;172;14:23:3 - 14:23:30 (22);27;169;14:23:7 - 14:23:32 (23);25;172;14:23:15 - 14:23:43 (20);28;223;14:23:16 - 14:23:44 (21);28;222;
errosion;14:23:30 - 14:24:49 (22);79;;14:23:32 - 14:24:50 (23);78;;14:23:43 - 14:25:0 (20);77;;14:23:44 - 14:25:4 (21);80;;14:24:49 - 14:26:6 (22);77;;14:24:50 - 14:26:8 (23);78;;14:25:0 - 14:26:19 (20);79;;14:25:4 - 14:26:24 (21);80;;14:26:6 - 14:27:26 (22);80;;14:26:8 - 14:27:26 (23);78;;14:26:19 - 14:27:37 (20);78;;14:26:24 - 14:27:44 (21);80;;14:27:26 - 14:28:33 (23);67;;14:27:26 - 14:28:34 (22);68;;


14sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
