sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
errosion;13:40:2 - 13:40:19 (23);17;;13:40:4 - 13:40:21 (22);17;;13:40:7 - 13:40:23 (20);16;;13:40:12 - 13:40:31 (21);19;;13:40:19 - 13:40:36 (23);17;;13:40:21 - 13:40:39 (22);18;;13:40:23 - 13:40:41 (20);18;;13:40:31 - 13:40:49 (21);18;;13:40:36 - 13:40:53 (23);17;;13:40:39 - 13:40:56 (22);17;;13:40:41 - 13:40:58 (20);17;;13:40:49 - 13:41:8 (21);19;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:38:31 - 13:39:3;32;110;13:38:33 - 13:39:3;30;113;13:38:33 - 13:39:3;30;115;13:38:37 - 13:39:9;32;119;13:39:3 - 13:39:33;30;99;13:39:3 - 13:39:35;32;100;13:39:3 - 13:39:34;31;104;13:39:9 - 13:39:41;32;106;13:39:33 - 13:40:2;29;88;13:39:34 - 13:40:4;30;90;13:39:35 - 13:40:7;32;89;13:39:41 - 13:40:12;31;94;
grayscaling;13:40:53 - 13:41:12 (23);19;180;13:40:56 - 13:41:15 (22);19;182;13:40:58 - 13:41:18 (20);20;185;13:41:8 - 13:41:27 (21);19;188;13:41:12 - 13:41:30 (23);18;220;13:41:15 - 13:41:34 (22);19;221;13:41:18 - 13:41:36 (20);18;225;13:41:27 - 13:41:46 (21);19;228;13:41:30 - 13:41:49 (23);19;258;13:41:34 - 13:41:53 (22);19;258;13:41:36 - 13:41:56 (20);20;264;13:41:46 - 13:42:6 (21);20;268;
errosion;13:44:12 - 13:45:10 (23);58;;13:44:17 - 13:45:15 (22);58;;13:44:23 - 13:45:21 (20);58;;13:44:35 - 13:45:34 (21);59;;13:45:10 - 13:46:7 (23);57;;13:45:15 - 13:46:11 (22);56;;13:45:21 - 13:46:20 (20);59;;13:45:34 - 13:46:34 (21);60;;13:46:7 - 13:47:3 (23);56;;13:46:11 - 13:47:8 (22);57;;13:46:20 - 13:47:17 (20);57;;13:46:34 - 13:47:33 (21);59;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:41:49 - 13:42:37;48;266;13:41:53 - 13:42:41;48;267;13:41:56 - 13:42:45;49;272;13:42:6 - 13:42:56;50;277;13:42:37 - 13:43:23;46;250;13:42:41 - 13:43:29;48;249;13:42:45 - 13:43:35;50;253;13:42:56 - 13:43:46;50;258;13:43:23 - 13:44:12;49;232;13:43:29 - 13:44:17;48;231;13:43:35 - 13:44:23;48;236;13:43:46 - 13:44:35;49;239;
grayscaling;13:47:3 - 13:47:33 (23);30;63;13:47:8 - 13:47:38 (22);30;61;13:47:17 - 13:47:48 (20);31;63;13:47:33 - 13:48:4 (23);31;61;13:47:33 - 13:48:4 (21);31;124;13:47:38 - 13:48:8 (22);30;123;13:47:48 - 13:48:19 (20);31;125;13:48:4 - 13:48:34 (23);30;120;13:48:4 - 13:48:36 (21);32;181;13:48:8 - 13:48:39 (22);31;184;13:48:19 - 13:48:51 (20);32;184;13:48:34 - 13:49:5 (23);31;179;
errosion;13:48:36 - 13:50:11 (21);95;;13:48:39 - 13:50:8 (22);89;;13:48:51 - 13:50:24 (20);93;;13:49:5 - 13:50:34 (23);89;;13:50:8 - 13:51:37 (22);89;;13:50:11 - 13:51:43 (21);92;;13:50:24 - 13:51:55 (20);91;;13:50:34 - 13:52:4 (23);90;;13:51:37 - 13:53:9 (22);92;;13:51:43 - 13:53:18 (21);95;;13:51:55 - 13:53:26 (20);91;;13:52:4 - 13:53:30 (23);86;;


12sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:53:30 - 13:53:40;10;18;13:53:30 - 13:53:39;9;19;13:53:30 - 13:53:40;10;23;13:53:30 - 13:53:39;9;25;13:53:39 - 13:53:47;8;19;13:53:39 - 13:53:48;9;18;13:53:40 - 13:53:49;9;20;13:53:40 - 13:53:49;9;21;13:53:47 - 13:53:56;9;17;13:53:48 - 13:53:57;9;17;13:53:49 - 13:53:58;9;19;13:53:49 - 13:53:57;8;20;
grayscaling;1:53:58 - 1:54:5 (97);7;13;1:53:58 - 1:54:5 (25);7;13;1:54:3 - 1:54:20 (98);17;1;1:54:4 - 1:54:22 (127);18;0;1:54:6 - 1:54:27 (25);21;4;1:54:6 - 1:54:28 (97);22;3;1:54:9 - 1:54:43 (119);34;1;1:54:10 - 1:54:46 (104);36;0;1:54:13 - 1:54:54 (112);41;0;1:54:14 - 1:54:57 (83);43;5;1:54:17 - 1:55:4 (125);47;0;1:54:17 - 1:55:4 (101);47;0;
errosion;1:54:18 - 1:54:18 (99);0;;1:54:18 - 1:54:18 (35);0;;1:54:21 - 1:54:21 (117);0;;1:54:22 - 1:54:22 (115);0;;1:54:31 - 1:54:32 (110);1;;1:54:31 - 1:54:32 (29);1;;1:54:44 - 1:54:44 (118);0;;1:54:46 - 1:54:47 (118);1;;1:54:54 - 1:54:54 (119);0;;1:55:2 - 1:55:2 (94);0;;1:55:4 - 1:55:5 (101);1;;1:55:4 - 1:55:5 (126);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:53:58 - 13:54:7;9;18;13:53:58 - 13:54:7;9;18;13:53:58 - 13:54:6;8;20;13:53:58 - 13:54:7;9;19;13:54:6 - 13:54:15;9;11;13:54:7 - 13:54:15;8;11;13:54:7 - 13:54:16;9;10;13:54:7 - 13:54:17;10;9;13:54:15 - 13:54:24;9;2;13:54:15 - 13:54:25;10;1;13:54:16 - 13:54:25;9;6;13:54:17 - 13:54:26;9;5;
grayscaling;1:54:25 - 1:55:27 (95);62;0;1:54:25 - 1:55:28 (35);63;0;1:54:26 - 1:55:27 (98);61;0;1:54:26 - 1:55:27 (99);61;1;1:54:26 - 1:55:28 (127);62;0;1:54:26 - 1:55:26 (115);60;1;1:54:26 - 1:55:29 (100);63;1;1:54:26 - 1:55:29 (117);63;0;1:54:26 - 1:55:29 (92);63;0;1:54:26 - 1:55:29 (107);63;0;1:54:31 - 1:55:33 (128);62;0;1:54:31 - 1:55:33 (86);62;0;
errosion;1:55:27 - 1:55:28 (98);1;;1:55:28 - 1:55:28 (99);0;;1:55:27 - 1:55:28 (125);1;;1:55:28 - 1:55:28 (98);0;;1:55:28 - 1:55:28 (35);0;;1:55:27 - 1:55:27 (125);0;;1:55:30 - 1:55:30 (35);0;;1:55:29 - 1:55:30 (98);1;;1:55:29 - 1:55:29 (92);0;;1:55:29 - 1:55:29 (99);0;;1:55:33 - 1:55:33 (94);0;;1:55:33 - 1:55:34 (92);1;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:54:26 - 13:54:35;9;21;13:54:26 - 13:54:36;10;21;13:54:26 - 13:54:36;10;20;13:54:26 - 13:54:36;10;21;13:54:35 - 13:54:46;11;14;13:54:36 - 13:54:46;10;13;13:54:36 - 13:54:46;10;15;13:54:36 - 13:54:47;11;14;13:54:46 - 13:54:56;10;5;13:54:46 - 13:54:56;10;5;13:54:46 - 13:54:57;11;4;13:54:47 - 13:54:57;10;4;
grayscaling;1:54:56 - 1:55:50 (104);54;0;1:54:57 - 1:55:51 (112);54;0;1:54:56 - 1:55:51 (119);55;0;1:54:57 - 1:55:51 (83);54;0;1:55:0 - 1:55:53 (116);53;0;1:54:59 - 1:55:52 (84);53;0;1:55:1 - 1:55:53 (87);52;1;1:55:1 - 1:55:53 (97);52;0;1:55:1 - 1:55:53 (109);52;0;1:55:1 - 1:55:53 (96);52;0;1:55:1 - 1:55:53 (102);52;0;1:55:1 - 1:55:53 (114);52;0;
errosion;1:55:50 - 1:55:50 (104);0;;1:55:51 - 1:55:51 (104);0;;1:55:51 - 1:55:52 (119);1;;1:55:51 - 1:55:51 (104);0;;1:55:53 - 1:55:53 (83);0;;1:55:52 - 1:55:52 (83);0;;1:55:54 - 1:55:54 (104);0;;1:55:53 - 1:55:53 (83);0;;1:55:53 - 1:55:53 (83);0;;1:55:53 - 1:55:53 (96);0;;1:55:53 - 1:55:53 (104);0;;1:55:53 - 1:55:53 (119);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:54:57 - 13:55:34;37;78;13:54:57 - 13:55:36;39;77;13:54:57 - 13:55:31;34;80;13:54:57 - 13:55:34;37;79;13:55:31 - 13:56:5;34;48;13:55:34 - 13:56:14;40;40;13:55:34 - 13:56:13;39;41;13:55:36 - 13:56:16;40;38;13:56:5 - 13:56:39;34;15;13:56:13 - 13:56:48;35;7;13:56:14 - 13:56:50;36;5;13:56:16 - 13:56:52;36;4;
grayscaling;1:56:52 - 1:58:49 (87);117;1;1:56:53 - 1:58:54 (91);121;1;1:56:51 - 1:58:45 (104);114;0;1:56:53 - 1:58:54 (123);121;0;1:56:53 - 1:58:56 (101);123;1;1:56:54 - 1:58:56 (30);122;0;1:56:54 - 1:58:56 (90);122;1;1:56:54 - 1:58:56 (85);122;0;1:56:54 - 1:58:56 (124);122;1;1:56:55 - 1:58:56 (25);121;1;1:56:55 - 1:58:56 (120);121;2;1:56:56 - 1:58:57 (93);121;1;
errosion;1:58:50 - 1:58:51 (87);1;;1:58:55 - 1:58:56 (128);1;;1:58:45 - 1:58:46 (94);1;;1:58:54 - 1:58:55 (94);1;;1:58:57 - 1:58:57 (30);0;;1:58:56 - 1:58:56 (91);0;;1:58:57 - 1:58:57 (128);0;;1:58:56 - 1:58:56 (101);0;;1:58:57 - 1:58:58 (94);1;;1:58:57 - 1:58:57 (30);0;;1:58:58 - 1:58:58 (90);0;;1:58:58 - 1:58:58 (128);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:56:52 - 13:57:55;63;125;13:56:52 - 13:57:54;62;127;13:56:52 - 13:57:54;62;127;13:56:52 - 13:57:53;61;127;13:57:53 - 13:58:56;63;65;13:57:54 - 13:58:57;63;66;13:57:54 - 13:58:58;64;64;13:57:55 - 13:58:59;64;63;13:58:56 - 13:59:55;59;7;13:58:57 - 13:59:54;57;9;13:58:58 - 13:59:58;60;6;13:58:59 - 14:0:0;61;4;
grayscaling;2:0:0 - 2:3:15 (128);195;1;2:0:1 - 2:3:18 (122);197;1;2:0:1 - 2:3:19 (31);198;1;2:0:0 - 2:3:11 (85);191;2;2:0:1 - 2:3:18 (113);197;1;2:0:3 - 2:3:20 (127);197;3;2:0:2 - 2:3:20 (103);198;1;2:0:2 - 2:3:20 (95);198;1;2:0:2 - 2:3:20 (117);198;2;2:0:3 - 2:3:21 (107);198;1;2:0:4 - 2:3:21 (115);197;2;2:0:4 - 2:3:21 (126);197;2;
errosion;2:3:16 - 2:3:17 (85);1;;2:3:19 - 2:3:20 (85);1;;2:3:20 - 2:3:21 (95);1;;2:3:13 - 2:3:14 (85);1;;2:3:19 - 2:3:20 (113);1;;2:3:23 - 2:3:23 (126);0;;2:3:21 - 2:3:21 (95);0;;2:3:21 - 2:3:21 (103);0;;2:3:22 - 2:3:22 (127);0;;2:3:22 - 2:3:22 (103);0;;2:3:23 - 2:3:23 (113);0;;2:3:23 - 2:3:24 (117);1;;


