sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;04.65;7053;39916
2;03.76;3594;20051
4;03.48;1762;10023
6;03.28;1784;7441
8;03.90;1210;5006
10;03.48;944;4082
12;03.91;720;3347
14;03.56;721;2868
16;03.96;623;2507
