sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;06.30;8131;34548
2;04.71;2973;14207
4;04.68;1509;7165
6;05.70;1885;8750
8;05.71;1390;7407
10;05.68;1159;5813
12;05.73;942;4664
14;05.78;852;4372
16;05.75;749;3758
