sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;12.91;42909;242832
2;07.03;26624;121442
4;04.90;12717;60704
6;03.88;8395;40411
8;04.16;5152;30293
10;03.65;5416;26022
12;03.45;4391;20204
14;04.30;3678;17358
16;02.85;3320;22801
