Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.28;11122;326171
2;11.18;6431;461921
4;11.14;3544;502759
6;11.14;2056;518390
8;11.17;1405;523812
10;11.16;1398;511817
12;11.16;1236;489118
14;11.17;1004;462055
16;11.17;882;400128
