sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;06.06;6952;34486
2;05.45;3590;16435
4;04.63;1509;7068
6;04.78;1543;7371
8;05.56;1360;8563
10;05.75;1270;6578
12;04.98;996;4231
14;05.73;936;4607
16;05.78;845;4353
