sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;05.06;8142;40008
2;04.18;3681;19974
4;03.70;1762;10072
6;03.86;1189;6675
8;03.80;895;5010
10;03.31;714;4011
12;04.08;595;3355
14;03.76;508;2867
16;03.21;362;2634
