sep=;
Number of Sub-Images;Overall;Average Preparation;Average Filtering
1;11.35;11206;330317
2;11.20;5723;487501
4;11.21;3105;487132
6;11.21;1365;513423
8;11.20;1328;504416
10;11.19;987;459725
12;11.19;859;483926
14;11.19;706;459477
16;11.20;620;396851
